,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,URL,Years of Service,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Teams
2679,Lonnie Kluttz,1971,1971,F,6-7,220.0,"September 17, 1945",North Carolina Agricultural and Technical State University,/players/k/kluttlo01.html,0,3.0,0.0,2.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.7,0.0,0.0,0.0,0.0,1.0,0.0,1
2680,Billy Knight,1975,1985,G-F,6-6,195.0,"June 9, 1952",University of Pittsburgh,/players/k/knighbi01.html,10,821.0,113.0,28.9,6.6,13.0,0.507,0.1,0.3,0.284,6.5,12.8,0.511,0.509,3.7,4.4,0.827,2.1,3.2,5.3,2.3,1.0,0.2,2.4,2.0,16.9,5
2681,Bob Knight,1955,1955,G-F,6-2,185.0,"April 30, 1929",0,/players/k/knighbo01.html,0,2.0,0.0,14.5,1.5,3.5,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,4.0,0.0,0.0,0.0,3.0,3.5,1
2682,Brandin Knight,2005,2005,G,6-0,180.0,"December 16, 1981",University of Pittsburgh,/players/k/knighbr02.html,0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
2683,Brandon Knight,2012,2017,G,6-3,189.0,"December 2, 1991",University of Kentucky,/players/k/knighbr03.html,5,382.0,320.0,31.3,5.5,13.2,0.415,1.6,4.6,0.357,3.8,8.6,0.445,0.476,2.6,3.3,0.812,0.6,2.8,3.3,4.3,0.9,0.2,2.7,2.0,15.2,3
2684,Brevin Knight,1998,2009,G,5-10,173.0,"November 8, 1975",Stanford University,/players/k/knighbr01.html,11,729.0,423.0,24.9,2.8,6.7,0.412,0.0,0.2,0.134,2.7,6.6,0.419,0.414,1.8,2.2,0.789,0.4,2.1,2.4,6.1,1.7,0.1,1.9,2.5,7.3,9
2685,Negele Knight,1991,1999,G,6-1,175.0,"March 6, 1967",University of Dayton,/players/k/knighne01.html,8,276.0,77.0,16.4,2.4,5.6,0.436,0.1,0.3,0.263,2.3,5.2,0.447,0.444,1.2,1.6,0.73,0.4,0.9,1.3,2.8,0.4,0.1,1.3,1.5,6.2,5
2686,Ron Knight,1971,1972,F,6-7,215.0,"August 4, 1947","California State University, Los Angeles",/players/k/knighro01.html,1,101.0,0.0,11.3,2.1,4.8,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,2.8,0.8,0.0,0.0,0.0,1.5,4.7,1
2687,Toby Knight,1978,1982,F,6-9,210.0,"May 3, 1955",University of Notre Dame,/players/k/knighto01.html,4,283.0,0.0,25.9,5.7,10.9,0.519,0.0,0.0,0.0,5.7,10.9,0.519,0.519,1.5,2.1,0.74,2.0,3.1,5.1,1.2,0.9,0.7,1.6,3.2,12.9,1
2688,Travis Knight,1997,2003,C,7-0,235.0,"September 13, 1974",University of Connecticut,/players/k/knightr01.html,6,371.0,58.0,12.3,1.4,3.2,0.438,0.0,0.2,0.259,1.4,3.1,0.447,0.444,0.6,0.8,0.696,1.2,1.9,3.1,0.6,0.4,0.6,0.7,2.2,3.4,3
2689,Lee Knorek,1947,1950,C,6-7,215.0,"July 15, 1921",University of Detroit Mercy,/players/k/knorele01.html,3,131.0,0.0,0.0,2.4,8.0,0.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.9,0.637,0.0,0.0,0.0,1.6,0.0,0.0,0.0,3.8,6.7,2
2690,Dick Knostman,1954,1954,C,6-6,215.0,"August 9, 1931",Kansas State University,/players/k/knostdi01.html,0,5.0,0.0,9.4,0.6,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.2,0.636,0.0,0.0,3.4,1.2,0.0,0.0,0.0,1.8,2.6,1
2691,Rod Knowles,1969,1969,F-C,6-9,215.0,"February 27, 1946",Davidson College,/players/k/knowlro01.html,0,9.0,0.0,4.8,0.4,1.6,0.286,0.0,0.0,0.0,0.4,1.6,0.286,0.286,0.1,0.3,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,1.0,2
2692,Bart Kofoed,1988,1993,G,6-4,210.0,"March 24, 1964","Hastings College, University of Nebraska at Kearney",/players/k/kofoeba01.html,5,111.0,0.0,6.3,0.5,1.4,0.387,0.0,0.1,0.188,0.5,1.2,0.41,0.397,0.4,0.6,0.614,0.1,0.4,0.5,1.0,0.2,0.0,0.5,0.9,1.5,4
2693,Don Kojis,1964,1975,F,6-5,215.0,"January 15, 1939",Marquette University,/players/k/kojisdo01.html,11,814.0,0.0,23.6,4.8,10.9,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5,0.72,1.4,2.9,5.6,1.4,0.9,0.2,0.0,2.4,12.2,6
2694,Milo Komenich,1950,1950,F-C,6-7,212.0,"June 22, 1920",University of Wyoming,/players/k/komenmi01.html,0,64.0,0.0,0.0,3.8,13.5,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.9,0.584,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.8,9.9,0
2695,Howard Komives,1965,1974,G,6-1,185.0,"May 9, 1941",Bowling Green State University,/players/k/komivho01.html,9,742.0,0.0,27.2,4.0,10.3,0.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.6,0.83,0.2,0.8,2.4,4.0,0.7,0.1,0.0,2.8,10.2,4
2696,Jon Koncak,1986,1996,C-F,7-0,250.0,"May 17, 1963",Southern Methodist University,/players/k/koncajo01.html,10,784.0,379.0,20.9,1.8,3.9,0.47,0.0,0.1,0.226,1.8,3.8,0.477,0.473,0.8,1.3,0.597,1.4,3.6,4.9,1.0,0.7,1.0,0.8,3.2,4.5,2
2697,Tom Kondla,1969,1969,C,6-8,225.0,"November 30, 1946",University of Minnesota,/players/k/kondlto01.html,0,42.0,0.0,8.4,1.4,3.5,0.4,0.0,0.0,0.0,1.4,3.4,0.403,0.4,0.5,1.1,0.478,1.1,1.9,3.0,0.3,0.0,0.0,0.5,1.3,3.3,2
2698,Bud Koper,1965,1965,G,6-6,210.0,"August 9, 1942",Oklahoma City University,/players/k/koperbu01.html,0,54.0,0.0,11.7,2.0,4.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.833,0.0,0.0,1.1,0.8,0.0,0.0,0.0,1.1,4.6,1
2699,Joe Kopicki,1983,1985,F,6-9,240.0,"June 12, 1960",University of Detroit Mercy,/players/k/kopicjo01.html,2,118.0,3.0,10.1,1.2,2.4,0.493,0.0,0.1,0.273,1.1,2.3,0.502,0.498,1.3,1.6,0.812,0.9,1.7,2.7,0.7,0.3,0.1,0.6,1.3,3.7,2
2700,Furkan Korkmaz,2018,2018,G,6-7,185.0,"July 24, 1997",0,/players/k/korkmfu01.html,0,14.0,0.0,5.7,0.6,2.0,0.286,0.4,1.2,0.294,0.2,0.8,0.273,0.375,0.1,0.3,0.5,0.1,0.6,0.8,0.3,0.1,0.1,0.1,0.9,1.6,1
2701,Frank Kornet,1990,1991,F,6-9,225.0,"January 27, 1967",Vanderbilt University,/players/k/kornefr01.html,1,89.0,0.0,6.7,0.7,2.0,0.369,0.1,0.4,0.263,0.6,1.6,0.399,0.398,0.3,0.6,0.596,0.4,0.7,1.1,0.3,0.2,0.0,0.4,0.9,1.9,1
2702,Luke Kornet,2018,2018,F,7-1,250.0,"July 15, 1995",Vanderbilt University,/players/k/kornelu01.html,0,20.0,1.0,16.3,2.5,6.3,0.392,1.4,4.0,0.354,1.1,2.3,0.457,0.504,0.4,0.6,0.727,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,6.7,1
2703,Yaroslav Korolev,2006,2007,F,6-9,203.0,"May 7, 1987",0,/players/k/korolya01.html,1,34.0,0.0,4.9,0.4,1.4,0.283,0.1,0.4,0.25,0.3,1.0,0.294,0.315,0.3,0.5,0.625,0.2,0.3,0.5,0.4,0.2,0.0,0.2,0.3,1.1,1
2704,Kyle Korver,2004,2018,G-F,6-7,212.0,"March 17, 1981",Creighton University,/players/k/korveky01.html,14,1104.0,422.0,26.2,3.4,7.7,0.444,2.0,4.6,0.431,1.4,3.1,0.464,0.574,1.1,1.2,0.881,0.3,2.8,3.0,1.8,0.7,0.3,1.1,2.1,9.9,5
2705,Tony Koski,1969,1969,F,6-8,215.0,"June 26, 1946",Providence College,/players/k/koskito01.html,0,5.0,0.0,6.0,0.4,1.4,0.286,0.0,0.0,0.0,0.4,1.4,0.286,0.286,0.4,0.4,1.0,0.8,0.6,1.4,0.8,0.0,0.0,0.4,1.8,1.2,1
2706,Len Kosmalski,1975,1976,C,7-0,245.0,"November 29, 1951",University of Tennessee,/players/k/kosmale01.html,1,76.0,0.0,6.7,0.5,1.4,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.778,0.5,1.4,1.9,0.7,0.1,0.1,0.0,1.0,1.4,2
2707,Andy Kostecka,1949,1949,F,6-3,203.0,"February 10, 1921",Georgetown University,/players/k/kostean01.html,0,21.0,0.0,0.0,2.2,5.2,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.3,0.614,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.3,6.4,1
2708,Harold Kottman,1947,1947,C,6-8,220.0,"August 22, 1922",Culver-Stockton College,/players/k/kottmha01.html,0,53.0,0.0,0.0,1.1,3.5,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.9,0.465,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.1,3.1,1
2709,Kosta Koufos,2009,2018,C,7-0,265.0,"February 24, 1989",Ohio State University,/players/k/koufoko01.html,9,644.0,228.0,16.7,2.6,4.9,0.537,0.0,0.0,0.0,2.6,4.8,0.538,0.537,0.6,1.1,0.587,1.8,3.3,5.1,0.5,0.4,0.8,0.7,2.1,5.8,5
2710,Tom Kozelko,1974,1976,F,6-8,220.0,"July 1, 1951",University of Toledo,/players/k/kozelto01.html,2,189.0,0.0,10.1,0.9,2.1,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.745,0.6,1.2,1.8,0.5,0.4,0.1,0.0,1.5,2.2,2
2711,Ronald Kozlicki,1968,1968,F,6-7,215.0,"December 12, 1944",Northwestern University,/players/k/kozliro01.html,0,37.0,0.0,9.6,1.1,3.3,0.339,0.2,0.8,0.207,0.9,2.5,0.38,0.364,0.6,0.9,0.618,0.0,0.0,1.9,0.4,0.0,0.0,0.5,0.8,2.9,1
2712,Arvid Kramer,1980,1980,C,6-9,220.0,"October 2, 1956",Augustana College (SD),/players/k/kramear01.html,0,8.0,0.0,5.6,0.9,2.8,0.318,0.0,0.0,0.0,0.9,2.8,0.318,0.318,0.3,0.3,1.0,0.8,0.8,1.5,0.4,0.0,0.6,0.6,1.0,2.0,1
2713,Barry Kramer,1965,1970,F-G,6-4,200.0,"November 10, 1942",New York University,/players/k/krameba01.html,5,59.0,0.0,9.5,1.2,3.7,0.336,0.0,0.1,0.0,1.2,3.7,0.338,0.336,1.1,1.6,0.728,1.0,0.9,1.9,0.7,0.0,0.0,1.6,1.3,3.6,3
2714,Joel Kramer,1979,1983,F-C,6-7,203.0,"November 30, 1955",San Diego State University,/players/k/kramejo01.html,4,328.0,4.0,12.8,1.5,3.1,0.479,0.0,0.0,0.0,1.5,3.1,0.481,0.479,0.9,1.2,0.737,1.0,1.8,2.8,1.0,0.4,0.2,0.8,1.8,3.8,1
2715,Steven Kramer,1968,1970,G-F,6-5,200.0,"January 1, 1945",Brigham Young University,/players/k/kramest01.html,2,124.0,0.0,18.5,3.1,7.1,0.429,0.0,0.1,0.125,3.1,7.1,0.432,0.43,2.3,3.0,0.78,0.9,1.0,2.5,1.9,0.0,0.0,1.7,2.5,8.5,3
2716,Dan Kraus,1949,1949,G,6-0,195.0,"February 13, 1923",Georgetown University,/players/k/krausda01.html,0,13.0,0.0,0.0,0.4,2.7,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,0.458,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.8,1.6,1
2717,Herb Krautblatt,1949,1949,G,6-1,190.0,"November 19, 1926",Rider University,/players/k/krauthe01.html,0,10.0,0.0,0.0,0.4,1.8,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.455,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.4,1.3,1
2718,Viacheslav Kravtsov,2013,2014,C,7-0,260.0,"August 25, 1987",0,/players/k/kravtvi01.html,1,45.0,0.0,6.3,0.9,1.4,0.672,0.0,0.0,0.0,0.9,1.4,0.672,0.672,0.3,1.0,0.333,0.7,0.6,1.4,0.2,0.1,0.2,0.4,0.9,2.2,2
2719,Jim Krebs,1958,1964,C-F,6-8,230.0,"September 8, 1935",Southern Methodist University,/players/k/krebsji01.html,6,515.0,0.0,20.7,3.3,8.1,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.9,0.755,0.0,0.0,6.2,0.8,0.0,0.0,0.0,3.0,8.0,2
2720,Wayne Kreklow,1981,1981,G,6-4,175.0,"January 4, 1957",Drake University,/players/k/kreklwa01.html,0,25.0,0.0,4.0,0.4,1.9,0.234,0.0,0.2,0.25,0.4,1.7,0.233,0.245,0.3,0.4,0.7,0.1,0.4,0.5,0.4,0.1,0.0,0.4,0.8,1.2,1
2721,Tommy Kron,1967,1970,G,6-5,200.0,"February 28, 1943",University of Kentucky,/players/k/kronto01.html,3,224.0,0.0,16.2,2.3,5.8,0.387,0.2,0.5,0.368,2.2,5.7,0.387,0.39,1.5,1.9,0.768,0.6,1.1,3.0,2.7,0.0,0.0,1.5,2.3,6.0,3
2722,Tom Kropp,1976,1977,G,6-3,205.0,"February 12, 1953",University of Nebraska at Kearney,/players/k/kroppto01.html,1,78.0,0.0,7.1,1.0,2.3,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.702,0.3,0.5,0.8,0.6,0.3,0.0,0.0,1.2,2.5,2
2723,Nenad Krstic,2005,2011,C,7-0,240.0,"July 25, 1983",0,/players/k/krstine01.html,6,419.0,373.0,25.2,4.1,8.3,0.494,0.0,0.0,0.143,4.1,8.3,0.495,0.494,1.8,2.5,0.73,1.8,3.6,5.4,0.8,0.4,0.7,1.2,3.0,10.0,3
2724,Larry Krystkowiak,1987,1997,F-C,6-9,220.0,"September 23, 1964",University of Montana,/players/k/krystla01.html,10,420.0,134.0,21.7,3.1,6.7,0.457,0.0,0.1,0.139,3.1,6.7,0.461,0.458,2.0,2.5,0.795,1.5,3.4,4.9,1.2,0.6,0.1,1.2,2.5,8.2,6
2725,Steve Kuberski,1970,1978,F-C,6-8,215.0,"November 6, 1947",Bradley University,/players/k/kuberst01.html,8,568.0,0.0,13.9,2.2,5.3,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.4,0.767,1.1,1.8,3.8,0.6,0.1,0.1,0.7,1.6,5.5,3
2726,Leo Kubiak,1950,1950,G,5-11,160.0,"December 25, 1927",Bowling Green State University,/players/k/kubiale01.html,0,62.0,0.0,0.0,4.2,12.8,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.8,0.814,0.0,0.0,0.0,3.2,0.0,0.0,0.0,4.0,11.5,1
2727,Bruce Kuczenski,1984,1984,F,6-10,230.0,"February 3, 1961",University of Connecticut,/players/k/kuczebr01.html,0,15.0,2.0,7.9,0.7,2.5,0.27,0.0,0.0,0.0,0.7,2.5,0.27,0.27,0.5,0.8,0.667,0.5,1.1,1.5,0.5,0.1,0.1,1.0,1.2,1.9,3
2728,Frank Kudelka,1950,1953,G-F,6-2,193.0,"June 25, 1925",Saint Mary's College of California,/players/k/kudelfr01.html,3,228.0,0.0,21.3,2.7,8.1,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.6,0.708,0.0,0.0,3.2,2.1,0.0,0.0,0.0,3.2,7.2,5
2729,John Kuester,1978,1980,G,6-2,180.0,"February 6, 1955",University of North Carolina,/players/k/kuestjo01.html,2,135.0,0.0,11.3,1.3,3.0,0.427,0.0,0.0,0.0,1.3,3.0,0.428,0.427,0.8,0.9,0.833,0.2,0.8,1.0,2.3,0.6,0.0,0.9,1.3,3.3,3
2730,Ray Kuka,1948,1949,F,6-3,200.0,"February 17, 1922",University of Notre Dame,/players/k/kukara01.html,1,52.0,0.0,0.0,1.9,5.9,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.8,0.591,0.0,0.0,0.0,0.7,0.0,0.0,0.0,2.6,4.9,1
2731,Toni Kukoc,1994,2006,F,6-10,192.0,"September 18, 1968",0,/players/k/kukocto01.html,12,846.0,259.0,26.3,4.3,9.6,0.447,0.9,2.6,0.335,3.4,7.0,0.488,0.492,2.1,2.9,0.729,1.2,3.0,4.2,3.7,1.0,0.3,1.8,1.7,11.6,4
2732,Kevin Kunnert,1974,1982,C-F,7-0,230.0,"November 11, 1951",University of Iowa,/players/k/kunneke01.html,8,555.0,0.0,21.8,3.6,7.7,0.476,0.0,0.0,0.0,3.6,7.7,0.476,0.476,1.0,1.5,0.682,2.5,4.8,7.3,1.4,0.5,1.1,1.5,3.5,8.3,4
2733,Terry Kunze,1968,1968,G-F,6-4,210.0,"March 11, 1943",University of Minnesota,/players/k/kunzete01.html,0,46.0,0.0,14.4,1.8,5.3,0.339,0.1,0.2,0.455,1.7,5.1,0.333,0.349,1.3,2.2,0.578,0.0,0.0,1.6,1.0,0.0,0.0,1.3,1.7,5.0,1
2734,Mitch Kupchak,1977,1986,F-C,6-9,230.0,"May 24, 1954",University of North Carolina,/players/k/kupchmi01.html,9,510.0,32.0,19.4,3.9,7.5,0.523,0.0,0.0,0.0,3.9,7.5,0.523,0.523,2.3,3.3,0.704,1.9,3.5,5.4,0.7,0.3,0.3,1.6,2.2,10.2,2
2735,C.J. Kupec,1976,1978,F-C,6-6,220.0,"January 16, 1953",University of Michigan,/players/k/kupeccj01.html,2,147.0,0.0,10.8,1.7,3.9,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.772,0.7,1.4,2.1,0.7,0.2,0.0,0.5,1.2,4.1,2
2736,Rob Kurz,2009,2009,F,6-9,232.0,"March 5, 1985",University of Notre Dame,/players/k/kurzro01.html,0,40.0,5.0,11.1,1.3,3.3,0.389,0.4,1.0,0.395,0.9,2.3,0.387,0.447,1.0,1.3,0.8,0.8,1.2,2.0,0.5,0.4,0.5,0.4,2.0,3.9,1
2737,Ibo Kutluay,2005,2005,G,6-6,200.0,"July 1, 1974",0,/players/k/kutluib01.html,0,5.0,0.0,2.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.2,0.0,1
2738,Kyle Kuzma,2018,2018,F,6-9,220.0,"July 24, 1995",University of Utah,/players/k/kuzmaky01.html,0,77.0,37.0,31.2,6.1,13.5,0.45,2.1,5.6,0.366,4.0,7.9,0.511,0.527,1.9,2.7,0.707,1.1,5.1,6.3,1.8,0.6,0.4,1.8,2.1,16.1,1
2739,Ognjen Kuzmic,2014,2015,C,7-1,251.0,"May 16, 1990",0,/players/k/kuzmiog01.html,1,37.0,0.0,4.4,0.4,0.7,0.52,0.0,0.0,0.0,0.4,0.7,0.52,0.52,0.2,0.4,0.6,0.5,0.6,1.0,0.2,0.1,0.1,0.4,0.8,0.9,1
2740,Mindaugas Kuzminskas,2017,2018,F,6-9,215.0,"October 19, 1989",0,/players/k/kuzmimi01.html,1,69.0,5.0,14.8,2.3,5.4,0.426,0.8,2.4,0.321,1.5,2.9,0.512,0.499,0.8,1.0,0.809,0.7,1.1,1.8,1.0,0.4,0.2,0.7,1.1,6.2,1
2741,Skal Labissiere,2017,2018,F,6-11,225.0,"March 18, 1996",University of Kentucky,/players/l/labissk01.html,1,93.0,40.0,19.9,3.5,7.3,0.476,0.2,0.6,0.356,3.2,6.6,0.488,0.492,1.6,2.1,0.766,1.6,3.2,4.8,1.1,0.4,0.7,1.2,2.1,8.7,1
2742,Reggie Lacefield,1969,1969,G-F,6-5,230.0,"April 10, 1945",Western Michigan University,/players/l/lacefre01.html,0,8.0,0.0,6.0,1.4,2.8,0.5,0.0,0.1,0.0,1.4,2.6,0.524,0.5,0.3,0.5,0.5,0.5,0.9,1.4,0.0,0.0,0.0,0.4,1.1,3.0,1
2743,Edgar Lacey,1969,1969,F,6-6,190.0,"August 2, 1944","University of California, Los Angeles",/players/l/laceyed01.html,0,46.0,0.0,13.2,2.1,4.8,0.447,0.0,0.0,0.0,2.1,4.7,0.452,0.447,0.8,1.5,0.567,1.5,2.4,3.9,0.7,0.0,0.0,1.4,2.0,5.1,1
2744,Sam Lacey,1971,1983,C,6-10,235.0,"March 28, 1948",New Mexico State University,/players/l/laceysa01.html,12,1002.0,40.0,31.8,4.3,9.7,0.441,0.0,0.1,0.188,4.3,9.7,0.442,0.441,1.7,2.4,0.738,2.2,6.9,9.7,3.7,1.3,1.5,2.2,3.5,10.3,5
2745,Bob Lackey,1973,1974,G-F,6-5,200.0,"April 4, 1949",Marquette University,/players/l/lackebo01.html,1,71.0,0.0,16.9,2.2,5.1,0.431,0.0,0.1,0.4,2.2,5.0,0.431,0.434,1.4,2.4,0.593,0.9,1.4,2.3,1.9,0.3,0.0,1.7,2.4,5.8,1
2746,Fred LaCour,1961,1963,G-F,6-5,210.0,"February 7, 1938",University of San Francisco,/players/l/lacoufr01.html,2,144.0,0.0,16.7,2.6,6.3,0.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.6,0.774,0.0,0.0,3.3,1.9,0.0,0.0,0.0,1.9,6.5,2
2747,Wendell Ladner,1971,1975,F,6-5,220.0,"October 6, 1948",University of Southern Mississippi,/players/l/ladnewe01.html,4,300.0,0.0,26.3,5.0,12.9,0.386,0.4,1.5,0.252,4.6,11.5,0.403,0.4,1.2,1.7,0.712,2.7,5.6,8.3,2.1,1.6,0.1,2.0,3.9,11.6,5
2748,Christian Laettner,1993,2005,F-C,6-11,235.0,"August 17, 1969",Duke University,/players/l/laettch01.html,12,868.0,692.0,29.7,4.6,9.7,0.48,0.1,0.4,0.261,4.5,9.3,0.49,0.486,3.4,4.2,0.82,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,12.8,6
2749,Oliver Lafayette,2010,2010,G,6-2,190.0,"May 6, 1984",University of Houston,/players/l/lafayol01.html,0,1.0,0.0,22.0,3.0,6.0,0.5,1.0,2.0,0.5,2.0,4.0,0.5,0.583,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,7.0,1
2750,Raef LaFrentz,1999,2008,F-C,6-11,240.0,"May 29, 1976",University of Kansas,/players/l/lafrera01.html,9,563.0,438.0,25.8,4.0,8.5,0.466,0.8,2.3,0.363,3.1,6.2,0.505,0.516,1.3,1.9,0.711,1.8,4.3,6.1,1.1,0.5,1.6,0.9,3.3,10.1,4
2751,Tom LaGarde,1978,1985,C-F,6-10,220.0,"February 10, 1955",University of North Carolina,/players/l/lagarto01.html,7,312.0,28.0,19.9,2.8,6.0,0.462,0.0,0.0,0.0,2.8,6.0,0.463,0.462,2.0,3.2,0.64,1.6,3.5,5.1,1.5,0.3,0.4,1.7,2.8,7.6,4
2752,Bill Laimbeer,1981,1994,C,6-11,245.0,"May 19, 1957",University of Notre Dame,/players/l/laimbbi01.html,13,1068.0,861.0,31.8,5.2,10.5,0.498,0.2,0.6,0.326,5.0,9.9,0.508,0.507,2.3,2.7,0.837,2.6,7.1,9.7,2.0,0.7,0.9,1.5,3.4,12.9,2
2753,Pete Lalich,1947,1947,F,6-2,190.0,"June 23, 1920",Ohio University,/players/l/lalicpe01.html,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
2754,Bo Lamar,1974,1977,G,6-1,180.0,"April 7, 1951",University of Louisiana at Lafayette,/players/l/lamarbo01.html,3,273.0,0.0,29.4,6.8,16.6,0.411,0.6,2.2,0.267,6.4,15.0,0.426,0.424,2.4,3.1,0.768,1.0,1.7,2.7,3.9,1.3,0.1,2.6,1.6,16.4,4
2755,Doron Lamb,2013,2014,G,6-4,210.0,"November 6, 1991",University of Kentucky,/players/l/lambdo01.html,1,100.0,0.0,12.7,1.2,3.2,0.381,0.5,1.3,0.394,0.7,2.0,0.372,0.458,0.5,0.7,0.7,0.2,0.8,1.0,0.8,0.2,0.0,0.5,1.1,3.5,2
2756,Jeremy Lamb,2013,2018,G-F,6-5,185.0,"May 30, 1992",University of Connecticut,/players/l/lambje01.html,5,356.0,31.0,18.7,3.4,7.8,0.445,0.9,2.7,0.336,2.5,5.0,0.503,0.504,1.3,1.6,0.837,0.5,2.8,3.2,1.4,0.6,0.3,0.8,1.5,9.1,2
2757,John Lambert,1976,1982,C-F,6-10,225.0,"January 14, 1953",University of Southern California,/players/l/lambejo01.html,6,446.0,7.0,12.5,1.6,3.8,0.428,0.0,0.1,0.083,1.6,3.8,0.43,0.428,0.5,0.8,0.693,1.3,2.1,3.3,0.6,0.3,0.4,0.8,1.9,3.8,3
2758,Jeff Lamp,1982,1989,F-G,6-6,195.0,"March 9, 1959",University of Virginia,/players/l/lampje01.html,7,291.0,3.0,11.9,2.1,4.4,0.47,0.0,0.2,0.222,2.0,4.3,0.481,0.474,0.9,1.1,0.841,0.5,1.1,1.5,0.9,0.4,0.0,0.8,1.4,5.1,4
2759,Maciej Lampe,2004,2006,C,6-11,275.0,"February 5, 1985",0,/players/l/lampema01.html,2,64.0,0.0,9.9,1.5,3.6,0.407,0.0,0.1,0.25,1.4,3.5,0.413,0.411,0.4,0.6,0.676,0.6,1.6,2.2,0.3,0.1,0.2,0.5,1.3,3.4,4
2760,Jim Lampley,1987,1987,C,6-10,230.0,"July 2, 1960","Vanderbilt University, University of Arkansas at Little Rock",/players/l/lamplji01.html,0,1.0,0.0,16.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,1.0,2.0,0.5,1.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,1
2761,Sean Lampley,2003,2004,F,6-7,227.0,"September 3, 1979",University of California,/players/l/lamplse01.html,1,45.0,0.0,12.2,1.5,3.3,0.463,0.0,0.1,0.0,1.5,3.2,0.476,0.463,1.4,2.1,0.691,0.6,1.5,2.1,0.7,0.2,0.1,0.6,1.0,4.5,2
2762,Carl Landry,2008,2016,F,6-9,248.0,"September 19, 1983",Purdue University,/players/l/landrca01.html,8,513.0,93.0,22.5,4.1,7.6,0.535,0.0,0.1,0.3,4.0,7.5,0.537,0.536,2.7,3.4,0.785,1.9,3.0,4.9,0.7,0.4,0.4,1.2,2.4,10.8,5
2763,Marcus Landry,2010,2010,F,6-7,230.0,"November 1, 1985",University of Wisconsin,/players/l/landrma01.html,0,18.0,0.0,6.2,0.9,2.4,0.372,0.5,1.6,0.321,0.4,0.8,0.467,0.477,0.2,0.3,0.6,0.3,0.8,1.1,0.0,0.1,0.1,0.3,0.8,2.4,2
